%eval_id interface           x001           x002           x003           x004           x005           x006           x007           x008           y001           y002           y003           y004           y005           y006           y007           y008         obj_fn 
1            NO_ID         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001         0.0001    2341.829047 
2            NO_ID 8.875619958e-05 0.0001063997567 9.925764456e-05 7.392114158e-05 7.309786848e-05 0.0001042663917 0.0001106351926 9.46110368e-05 0.000128349036 9.571979263e-05 9.061029133e-05 0.0001054026204 9.938024136e-05 7.598836484e-05 7.096716236e-05 9.954070203e-05    2116.185945 
3            NO_ID 4.378099788e-05 0.0001319987833 9.62882228e-05 -3.039429212e-05 -3.451065759e-05 0.0001213319587 0.0001531759628 7.305518402e-05 0.0002417451801 7.859896316e-05 5.305145663e-05 0.0001270131021 9.690120678e-05 -2.005817578e-05 -4.516418821e-05 9.770351017e-05    1384.403661 
4            NO_ID -5.41876276e-05 0.0001877606556 8.981998791e-05 -0.0002576226151 -0.000268912261 0.0001585055583 0.0002458417125 2.610048034e-05 0.0004887538415 4.130498633e-05 -2.876223782e-05 0.0001740868029 9.150117298e-05 -0.0002292745264 -0.0002981308979 9.370159012e-05    736.3058825 
5            NO_ID -0.0002109463888 8.558880654e-05 0.0001145669965 -0.0002560812509 -0.00029184372 0.0002093795445 0.0003445277112 9.907813867e-05 0.0004960084308 -4.392549344e-05 -0.0001687388489 8.709201084e-05 0.0001096798556 -0.0001965131845 -0.0002782788613 0.000143494865    597.8535424 
6            NO_ID -0.0008379814337 -0.0003230985898 0.0002135550307 -0.0002499157945 -0.0003835695562 0.0004128754896 0.0007392717057 0.000390988772 0.000525026788 -0.0003848474125 -0.0007286452933 -0.0002608871573 0.0001823945862 -6.546781687e-05 -0.0001988707151 0.0003426679643    220.2213443 
7            NO_ID -0.00136448305 -0.0006662605494 0.0002966721713 -0.0002447388545 -0.0004605888575 0.0005837446378 0.001070725829 0.0006360969545 0.0005493925903 -0.0006711088311 -0.001198781134 -0.0005530743261 0.0002434508597 4.456685889e-05 -0.0001321941909 0.0005099073549     120.849813 
8            NO_ID -0.001608587658 -0.0008574148529 0.0002680985114 -0.0003005526168 -0.0005689204896 0.0004193302631 0.0009432158556 0.0005976062867 0.0006044988007 -0.00056841998 -0.001154380202 -0.000549671677 0.0002439514959 8.110668466e-05 -0.0001430647753 0.0003760104904    111.9003153 
9            NO_ID -0.001558301019 -0.0008180362129 0.0002739848129 -0.0002890547326 -0.0005466036897 0.0004532003583 0.0009694834795 0.0006055355361 0.0005931466753 -0.0005895743418 -0.001163526992 -0.0005503726379 0.0002438483626 7.357931741e-05 -0.0001408253864 0.0004035938423     111.254222 
10           NO_ID -0.001558297843 -0.000818033726 0.0002739851847 -0.0002890540064 -0.0005466022803 0.0004532024974 0.0009694851384 0.0006055360369 0.0005931459583 -0.0005895756778 -0.00116352757 -0.0005503726822 0.0002438483561 7.357884202e-05 -0.0001408252449 0.0004035955843     111.254222 
