# orbit data saved at Tue Nov  8 10:40:43 2016
#       zpos [m]                x [mm]                 y [mm]        
  5.11327300000000e-01   5.12916200235012e-03  -6.98619897391524e-03
  2.07063410000000e+00   5.87136194488034e-01  -3.89549195081662e-01
  3.10909560000000e+00   2.46095074231151e-01  -4.34287642374503e-01
  3.88442290000000e+00   3.41072210237028e-01  -2.73897897644983e-01
  5.44372970000000e+00   4.97204430633798e-01   4.94144247467314e-01
  6.48219120000000e+00   3.56360870621751e-01   3.32674629624770e-02
  7.25751850000000e+00  -3.13915388841855e-02  -1.13030544417193e-01
  8.81682530000000e+00  -1.68566693978697e-01   5.84281751839050e-03
  9.85528680000000e+00   3.02959802043343e-01  -3.39957496182193e-01
  1.07621941000000e+01   9.24646569863400e-01  -1.20293409895537e+00
  1.27599199000000e+01   4.09867308967120e-01  -1.32766492433425e+00
  1.47576457000000e+01   1.09880457591580e+00  -1.08427060259875e+00
  1.62277122000000e+01   8.82138114649463e-01  -1.65018213033376e+00
  1.71346195000000e+01   1.49853660245559e+00  -2.01523160107762e+00
  1.91323453000000e+01   7.52088236042135e-01  -1.97899344571177e+00
  2.11300711000000e+01   9.90609626275747e-01  -1.46087168713159e+00
  2.26001376000000e+01   8.18552589054012e-01  -1.49903982384954e+00
  2.35070449000000e+01   1.37393933239262e+00  -1.45578851682210e+00
  2.55047707000000e+01   8.93670647700039e-01  -1.27750193996827e+00
  2.75024965000000e+01   9.54737552131252e-01  -7.84001331204995e-01
  2.89725630000000e+01   8.67317848806107e-01  -8.32344615354342e-01
  2.98794703000000e+01   1.16059643727814e+00  -6.99303989999919e-01
  3.18771961000000e+01   8.05091390070287e-01  -6.65828421341381e-01
  3.38749219000000e+01   8.11480067479882e-01  -4.09959198257741e-01
  3.53449884000000e+01   7.91086216347324e-01  -5.43824467854736e-01
  3.62518957000000e+01   9.94450090398119e-01  -4.62426422570096e-01
  3.82496215000000e+01   7.81643302485856e-01  -5.23155550419877e-01
  4.02473473000000e+01   8.58524193454272e-01  -4.08047360226816e-01
  4.17174138000000e+01   8.13068654739556e-01  -5.69489910129902e-01
  4.26243211000000e+01   1.00365756843539e+00  -4.58700158571119e-01
  4.46220468999999e+01   8.80286049648142e-01  -4.39025315143255e-01
  4.66197726999999e+01   1.05600009458541e+00  -3.23285860776848e-01
  4.80898391999999e+01   1.01100068152395e+00  -5.07121833703839e-01
  4.89967464999999e+01   1.15290928990015e+00  -3.24517717750807e-01
  5.09944722999999e+01   1.05245243202429e+00  -2.25073452978206e-01
  5.29921980999999e+01   1.22408611159472e+00  -1.30690687406271e-01
  5.44622645999999e+01   1.15575183335596e+00  -4.16484016875554e-01
  5.53691718999999e+01   1.19211775098833e+00  -2.74879787217071e-01
  5.73668976999999e+01   8.92950366930807e-01  -1.47816355013855e-01
  5.93646234999998e+01   1.11538523054076e+00   8.05403632867992e-02
  6.08346899999998e+01   1.19880463066675e+00  -3.17469571281236e-01
  6.17415972999998e+01   1.25811632087279e+00  -2.76930688037846e-01
  6.37393230999998e+01   8.19607125336695e-01  -3.78309491372987e-01
  6.57370488999998e+01   8.65839051696867e-01   2.35928130791403e-03
  6.72071153999998e+01   1.16048090656331e+00  -1.20661781766380e-01
  6.81140226999998e+01   1.39378753580467e+00   1.91911956360333e-02
  7.01117484999998e+01   1.29475793266529e+00  -2.21577820689571e-01
  7.21094742999998e+01   1.01316001642463e+00   9.08046454821813e-02
  7.35795407999999e+01   1.04742386252056e+00   3.19351905618427e-01
  7.44864480999999e+01   1.09000263231992e+00   7.46193460667672e-01
  7.64841738999999e+01   1.27255841407295e+00   6.32362323252728e-01
  7.84818996999999e+01   9.31373062223805e-01   2.94719534150719e-01
  7.99519661999999e+01   3.49115725496973e-01   1.39364486916503e-01
  8.42514661999999e+01   5.51780849845960e-02  -1.65716630395796e-01
  8.55999661999999e+01   4.46513422764504e-01  -2.51459932951526e-01
  9.02926781999999e+01   8.70646932404310e-03   3.63641087784469e-01
  9.25673881999998e+01  -2.61932687085712e-01   5.23160099306816e-01
  9.92230671999998e+01   2.98530030712815e-01  -1.52208122164099e-01
  1.00866973200000e+02   4.96895323210603e-01  -4.68022230865377e-01
  1.08848651200000e+02  -7.63758904761136e-01  -2.30455861472283e+00
  1.10022151200000e+02  -3.74540574518034e-01  -1.62670930310294e+00
  1.12402151200000e+02   8.93339801808725e-02   2.51956013129939e+00
  1.15386501200000e+02   3.71302993689305e-01   3.81531106675139e+00
  1.18925531200000e+02   4.24248605412777e-01   1.51588331063868e+00
  1.24588799200000e+02  -2.44906953755540e-01  -8.22077086335960e+00
  1.26004954200000e+02  -7.10355191579035e-01  -4.56374739223691e+00
  1.29806844200000e+02  -2.62283989560212e+00  -1.89086126589525e+00
  1.34224590200000e+02  -2.56228723462523e+00   6.06195714452272e-01
  1.37878480200000e+02  -7.12735526386237e-01   5.31719347829794e+00
  1.41242740200000e+02  -8.20924556424670e-01   6.74446797219062e+00
  1.46341150200000e+02  -5.16936730018854e-01  -6.37976654751866e+00
  1.47697646200000e+02  -5.67580663774969e-01  -3.83084426828586e+00
  1.54032200200000e+02   6.56641139283642e-01  -1.43959286998000e+00
  1.56731200200000e+02   7.72314065534448e-01   2.29219918551663e-01
  1.57829700200000e+02   3.78664650282148e-01   1.23392570421256e+00
