# orbit data saved at Tue Nov  8 14:23:30 2016
#       zpos [m]                x [mm]                 y [mm]        
  5.11327300000000e-01   5.12916200235012e-03  -6.98619897391524e-03
  2.07063410000000e+00   2.08945038160610e-01  -1.61801756585636e-01
  3.10909560000000e+00   9.38187396382441e-02  -7.86641472989668e-02
  3.88442290000000e+00   1.64984338466025e-01   6.06771088863230e-02
  5.44372970000000e+00  -8.54098067210832e-02   9.71395700035973e-02
  6.48219120000000e+00  -1.10009108069735e-01  -2.79758877942401e-04
  7.25751850000000e+00  -1.92568777742562e-01  -2.04625908596973e-01
  8.81682530000000e+00   1.28155793173130e-01  -4.98932941059574e-01
  9.85528680000000e+00   2.41008018247315e-01  -3.23987279883925e-01
  1.07621941000000e+01   8.37523016042658e-01  -3.48148097284645e-01
  1.27599199000000e+01   4.64015629137161e-01  -8.21179202715523e-01
  1.47576457000000e+01   2.95778907680807e-02  -3.34595430526175e-01
  1.62277122000000e+01   1.59473411330642e-01  -8.64042489318908e-02
  1.71346195000000e+01   4.68477182051851e-01  -1.76814428699575e-01
  1.91323453000000e+01   2.43247632820351e-01  -5.60014701544573e-01
  2.11300711000000e+01  -1.82708373499444e-01  -4.30709521965091e-01
  2.26001376000000e+01  -1.74658031081017e-01  -7.84596561949752e-02
  2.35070449000000e+01   4.78425846249455e-02  -8.71555711598765e-02
  2.55047707000000e+01   2.23308196281914e-01  -2.24038461632938e-01
  2.75024965000000e+01   9.04296361763738e-02  -3.50500272252728e-01
  2.89725630000000e+01  -6.84677394509905e-02  -2.14447255004130e-01
  2.98794703000000e+01   1.20264483982430e-02  -2.00019354605388e-01
  3.18771961000000e+01   7.08656585990654e-02  -1.07073601173826e-01
  3.38749219000000e+01   1.24266977278294e-01  -1.60684463724833e-01
  3.53449884000000e+01   2.07768961971419e-02  -2.09045291954706e-01
  3.62518957000000e+01   4.33860524885982e-02  -2.71960776141925e-01
  3.82496215000000e+01  -6.35485927230550e-02  -2.21000397280932e-01
  4.02473473000000e+01   3.19764506609159e-02  -1.99439354811777e-01
  4.17174138000000e+01   7.73486679173045e-02  -2.88050163049569e-01
  4.26243211000000e+01   2.08372370682480e-01  -4.08704395045341e-01
  4.46220468999999e+01   1.03401296353644e-01  -4.51851622022381e-01
  4.66197726999999e+01   1.77205347422163e-01  -2.88531921730944e-01
  4.80898391999999e+01   2.96321310679978e-01  -2.29236081797991e-01
  4.89967464999999e+01   5.00168804192202e-01  -1.85418066770682e-01
  5.09944722999999e+01   4.46607450747747e-01  -2.17242687745214e-01
  5.29921980999999e+01   2.64611506124934e-01   9.57070781996668e-03
  5.44622645999999e+01   2.58983237766993e-01   1.83349942473104e-01
  5.53691718999999e+01   2.67642605681141e-01   3.35813373020640e-01
  5.73668976999999e+01   2.77988692607836e-01   2.85294072105724e-01
  5.93646234999998e+01   5.58191464449343e-02   1.67701295639727e-01
  6.08346899999998e+01  -7.97459275097312e-02   1.50055119336251e-01
  6.17415972999998e+01  -1.89291198069758e-01   1.17768723863508e-01
  6.37393230999998e+01  -1.24213199048095e-01   9.67305700074677e-02
  6.57370488999998e+01   1.85260130556512e-02  -6.82913560567694e-02
  6.72071153999998e+01   3.58524167872499e-02  -1.64441370160828e-01
  6.81140226999998e+01   9.38234109164379e-02  -2.35272374600923e-01
  7.01117484999998e+01   8.58415650356059e-02  -1.61538166504192e-01
  7.21094742999998e+01   1.25574662388224e-01  -7.10799634802854e-03
  7.35795407999999e+01   7.83064892414694e-02   4.56325337012482e-02
  7.44864480999999e+01   3.63850675571666e-02   9.20364160201640e-02
  7.64841738999999e+01  -1.23457409996029e-01   1.14117598800915e-01
  7.84818996999999e+01  -2.49468232338167e-01  -7.39576468541382e-02
  7.99519661999999e+01  -3.63392346201338e-01  -4.27475839725916e-01
  8.42514661999999e+01   5.18893461516852e-02   9.38441825439781e-01
  8.55999661999999e+01   5.66694886017484e-01   8.54178839969686e-01
  9.02926781999999e+01   5.00149810551151e-02  -1.32296329298878e+00
  9.25673881999998e+01  -3.36944938760578e-01  -1.39887195411823e+00
  9.92230671999998e+01   3.40696852820031e-01  -7.60282275626131e-01
  1.00866973200000e+02   5.98044319491627e-01  -7.28541518657260e-02
  1.08848651200000e+02  -7.77497011612249e-01   6.84524235189566e-01
  1.10022151200000e+02  -3.92305160334712e-01   4.37614869682224e-01
  1.12402151200000e+02   4.87298764588556e-02  -8.25186289221783e-01
  1.15386501200000e+02   3.38811311088287e-01  -1.14507801535667e+00
  1.18925531200000e+02   4.51073478103334e-01  -3.63328245611740e-01
  1.24588799200000e+02  -2.78923601201699e-01  -5.77582410816598e-01
  1.26004954200000e+02  -8.34499927468162e-01  -3.29661286686128e-01
  1.29806844200000e+02  -2.55634357931086e+00  -1.84479305915502e-01
  1.34224590200000e+02  -2.55337889642894e+00   1.25764970215884e-02
  1.37878480200000e+02  -7.58609618312781e-01   4.47518802110556e-01
  1.41242740200000e+02  -8.33636790693032e-01   5.97476908016040e-01
  1.46341150200000e+02  -4.64424790218983e-01  -5.22754216258675e-01
  1.47697646200000e+02  -4.71309762381113e-01  -3.26070687158019e-01
  1.54032200200000e+02   6.61704191117093e-01  -1.22056417404496e+00
  1.56731200200000e+02   6.98660842608284e-01  -3.47065958074684e-01
  1.57829700200000e+02   3.24600495792737e-01   5.49833812165384e-01
